Rank,Trainer Name,Total Responses,Early Period Score,Late Period Score,Improvement Score,Quote 1 (Row ID),Quote 1,Quote 2 (Row ID),Quote 2,Case Study Angle
1,hayden.scott@org2.example.com,8,8.88,9.54,0.667,R0001,Finding out about keyboard shortcuts was fun! And the bigger picture context (e.g. the 4 steps to clean data ready to analyse) were really interesting.,R0007,"Informal and fun, making everyone feel comfortable to ask questions and not feel stupid",Showed strong improvement in training effectiveness and learner engagement
2,sam.parker@org2.example.com,5,7.58,8.17,0.583,R0032,They were positive and helpful whenever I got stuck.,R0028,They made it fun and relatable,Showed strong improvement in training effectiveness and learner engagement
